●標的證券資訊,,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,,"標準型
證券
股數"
,,,,"股票
期貨","股票
選擇權","上市
普通股","上櫃
普通股","上市
ETF",
CA,南亞塑膠工業股份有限公司,1303,南亞,●,●,◎,,,"2,000 "
CB,中國鋼鐵股份有限公司,2002,中鋼,●,●,◎,,,"2,000 "
CC,聯華電子股份有限公司,2303,聯電,●,●,◎,,,"2,000 "
CD,台灣積體電路製造股份有限公司,2330,台積電,●,●,◎,,,"2,000 "
CE,富邦金融控股股份有限公司,2881,富邦金,●,●,◎,,,"2,000 "
CF,台灣塑膠工業股份有限公司,1301,台塑,●,●,◎,,,"2,000 "
CG,仁寶電腦工業股份有限公司,2324,仁寶,●,●,◎,,,"2,000 "
CH,友達光電股份有限公司,2409,友達,●,●,◎,,,"2,000 "
CJ,華南金融控股股份有限公司,2880,華南金,●,●,◎,,,"2,000 "
CK,國泰金融控股股份有限公司,2882,國泰金,●,●,◎,,,"2,000 "
CL,兆豐金融控股股份有限公司,2886,兆豐金,●,●,◎,,,"2,000 "
CM,台新金融控股股份有限公司,2887,台新金,●,●,◎,,,"2,000 "
CN,中國信託金融控股股份有限公司,2891,中信金,●,●,◎,,,"2,000 "
CQ,統一企業股份有限公司,1216,統一,●,●,◎,,,"2,000 "
CR,遠東新世紀股份有限公司,1402,遠東新,●,●,◎,,,"2,000 "
CS,華新麗華股份有限公司,1605,華新,●,●,◎,,,"2,000 "
CT,日月光半導體製造股份有限公司,2311,日月光,●,●,◎,,,"2,000 "
CU,中環股份有限公司,2323,中環,●,,◎,,,"2,000 "
CV,矽品精密工業股份有限公司,2325,矽品,●,●,◎,,,"2,000 "
CX,大同股份有限公司,2371,大同,●,●,◎,,,"2,000 "
CZ,長榮海運股份有限公司,2603,長榮,●,●,◎,,,"2,000 "
DA,陽明海運股份有限公司,2609,陽明,●,●,◎,,,"2,000 "
DC,彰化商業銀行股份有限公司,2801,彰銀,●,●,◎,,,"2,000 "
DD,新光金融控股股份有限公司,2888,新光金,●,,◎,,,"2,000 "
DE,永豐金融控股股份有限公司,2890,永豐金,●,●,◎,,,"2,000 "
DF,台灣水泥股份有限公司,1101,台泥,●,●,◎,,,"2,000 "
DG,台灣化學纖維股份有限公司,1326,台化,●,●,◎,,,"2,000 "
DH,鴻海精密工業股份有限公司,2317,鴻海,●,●,◎,,,"2,000 "
DJ,華碩電腦股份有限公司,2357,華碩,●,●,◎,,,"2,000 "
DK,廣達電腦股份有限公司,2382,廣達,●,●,◎,,,"2,000 "
DL,中華電信股份有限公司,2412,中華電,●,●,◎,,,"2,000 "
DN,玉山金融控股股份有限公司,2884,玉山金,●,●,◎,,,"2,000 "
DO,元大金融控股股份有限公司,2885,元大金,●,●,◎,,,"2,000 "
DP,第一金融控股股份有限公司 ,2892,第一金,●,●,◎,,,"2,000 "
DQ,群創光電股份有限公司,3481,群創,●,●,◎,,,"2,000 "
