●標的證券資訊,,,,,,,,
"股票期貨、
選擇權
商品代碼 ",標的證券 ,"證券
代號 ","標的證券
簡稱 ",是否為標的,,標的證券,,
,,,,"股票
期貨","股票
選擇權","上市
普通股","上櫃
普通股","上市
ETF"
CA,南亞塑膠工業股份有限公司,1303,南亞,●,●,◎,,
CB,中國鋼鐵股份有限公司,2002,中鋼,●,●,◎,,
CC,聯華電子股份有限公司,2303,聯電,●,●,◎,,
CD,台灣積體電路製造股份有限公司,2330,台積電,●,●,◎,,
CE,富邦金融控股股份有限公司,2881,富邦金,●,●,◎,,
CF,台灣塑膠工業股份有限公司,1301,台塑,●,●,◎,,
CG,仁寶電腦工業股份有限公司,2324,仁寶,●,●,◎,,
CH,友達光電股份有限公司,2409,友達,●,●,◎,,
CJ,華南金融控股股份有限公司,2880,華南金,●,●,◎,,
CK,國泰金融控股股份有限公司,2882,國泰金,●,●,◎,,
CL,兆豐金融控股股份有限公司,2886,兆豐金,●,●,◎,,
CM,台新金融控股股份有限公司,2887,台新金,●,●,◎,,
CN,中國信託金融控股股份有限公司,2891,中信金,●,●,◎,,
CQ,統一企業股份有限公司,1216,統一,●,●,◎,,
CR,遠東新世紀股份有限公司,1402,遠東新,●,●,◎,,
CS,華新麗華股份有限公司,1605,華新,●,●,◎,,
CT,日月光半導體製造股份有限公司,2311,日月光,●,●,◎,,
CU,中環股份有限公司,2323,中環,●,,◎,,
CV,矽品精密工業股份有限公司,2325,矽品,●,●,◎,,
CX,大同股份有限公司,2371,大同,●,●,◎,,
CZ,長榮海運股份有限公司,2603,長榮,●,●,◎,,
DA,陽明海運股份有限公司,2609,陽明,●,●,◎,,
DC,彰化商業銀行股份有限公司,2801,彰銀,●,●,◎,,
DD,新光金融控股股份有限公司,2888,新光金,●,,◎,,
DE,永豐金融控股股份有限公司,2890,永豐金,●,●,◎,,
DF,台灣水泥股份有限公司,1101,台泥,●,●,◎,,
DG,台灣化學纖維股份有限公司,1326,台化,●,●,◎,,
DH,鴻海精密工業股份有限公司,2317,鴻海,●,●,◎,,
DJ,華碩電腦股份有限公司,2357,華碩,●,●,◎,,
DK,廣達電腦股份有限公司,2382,廣達,●,●,◎,,
DL,中華電信股份有限公司,2412,中華電,●,●,◎,,
DN,玉山金融控股股份有限公司,2884,玉山金,●,●,◎,,
DO,元大金融控股股份有限公司,2885,元大金,●,●,◎,,
DP,第一金融控股股份有限公司 ,2892,第一金,●,●,◎,,
DQ,群創光電股份有限公司,3481,群創,●,●,◎,,
DS,宏碁股份有限公司,2353,宏碁,●,●,◎,,
DU,晶元光電股份有限公司,2448,晶電,●,●,◎,,
DV,聯發科技股份有限公司,2454,聯發科,●,●,◎,,
DW,潤泰全球股份有限公司,2915,潤泰全,●,●,◎,,
DX,緯創資通股份有限公司,3231,緯創,●,●,◎,,
DY,亞洲水泥股份有限公司 ,1102,亞泥,●,,◎,,
DZ,大成長城企業股份有限公司,1210,大成,●,,◎,,
EC,台灣聚合化學品股份有限公司,1304,台聚,●,,◎,,
ED,亞洲聚合股份有限公司,1308,亞聚,●,,◎,,
EE,國喬石油化學股份有限公司 ,1312,國喬,●,,◎,,
EG,中國石油化學工業開發股份有限公司,1314,中石化,●,,◎,,
EH,東陽實業廠股份有限公司 ,1319,東陽,●,,◎,,
EI,新光合成纖維股份有限公司,1409,新纖,●,,◎,,
EM,東元電機股份有限公司,1504,東元,●,,◎,,
EN,永大機電工業股份有限公司,1507,永大,●,,◎,,
EP,亞德客國際集團,1590,F-亞德,●,,◎,,
ER,南僑化學工業股份有限公司,1702,南僑,●,,◎,,
ES,李長榮化學工業股份有限公司,1704,榮化,●,,◎,,
EU,東聯化學股份有限公司,1710,東聯,●,,◎,,
EV,臺灣永光化學工業股份有限公司,1711,永光,●,,◎,,
EW,和桐化學股份有限公司,1714,和桐,●,,◎,,
EY,中國人造纖維股份有限公司,1718,中纖,●,,◎,,
EZ,台灣肥料股份有限公司,1722,台肥,●,,◎,,
FA,中鋼碳素化學股份有限公司,1723,中碳,●,,◎,,
FF,上銀科技股份有限公司,2049,上銀,●,,◎,,
FG,川湖科技股份有限公司,2059,川湖,●,,◎,,
FK,正新橡膠工業股份有限公司,2105,正新,●,,◎,,
FL,建大工業股份有限公司,2106,建大,●,,◎,,
FM,厚生股份有限公司,2107,厚生,●,,◎,,
FQ,光寶科技股份有限公司,2301,光寶科,●,,◎,,
FR,台達電子工業股份有限公司,2308,台達電,●,,◎,,
FT,華通電腦股份有限公司,2313,華通,●,,◎,,
FV,精英電腦股份有限公司,2331,精英,●,,◎,,
FW,友訊科技股份有限公司,2332,友訊,●,,◎,,
FY,光磊科技股份有限公司,2340,光磊,●,,◎,,
GA,聯強國際股份有限公司,2347,聯強,●,,◎,,
GC,鴻準精密工業股份有限公司,2354,鴻準,●,,◎,,
GE,藍天電腦股份有限公司,2362,藍天,●,,◎,,
GG,佳能企業股份有限公司,2374,佳能,●,,◎,,
GH,技嘉科技股份有限公司,2376,技嘉,●,,◎,,
GI,微星科技股份有限公司,2377,微星,●,,◎,,
GJ,瑞昱半導體股份有限公司,2379,瑞昱,●,,◎,,
GK,群光電子股份有限公司,2385,群光,●,,◎,,
GL,正崴精密工業股份有限公司,2392,正崴,●,,◎,,
GM,億光電子工業股份有限公司,2393,億光,●,,◎,,
GN,凌陽科技股份有限公司,2401,凌陽,●,,◎,,
GO,漢唐集成股份有限公司,2404,漢唐,●,,◎,,
GP,國碩科技工業股份有限公司,2406,國碩,●,,◎,,
GR,京元電子股份有限公司,2449,京元電,●,,◎,,
GU,全新光電科技股份有限公司,2455,全新,●,,◎,,
GW,義隆電子股份有限公司,2458,義隆,●,,◎,,
GX,可成科技股份有限公司,2474,可成,●,,◎,,
GZ,兆赫電子股份有限公司,2485,兆赫,●,,◎,,
HA,瑞軒科技股份有限公司,2489,瑞軒,●,,◎,,
HC,宏達國際電子股份有限公司,2498,宏達電,●,,◎,,
HH,中華工程股份有限公司,2515,中工,●,,◎,,
HI,冠德建設股份有限公司,2520,冠德,●,,◎,,
HJ,宏盛建設股份有限公司,2534,宏盛,●,,◎,,
HL,興富發建設股份有限公司,2542,興富發,●,,◎,,
HM,皇翔建設股份有限公司,2545,皇翔,●,,◎,,
HN,日勝生活科技股份有限公司,2547,日勝生,●,,◎,,
HO,華固建設股份有限公司,2548,華固,●,,◎,,
HS,長榮航空股份有限公司,2618,長榮航,●,,◎,,
HV,京城商業銀行股份有限公司,2809,京城銀,●,,◎,,
HW,台中商業銀行股份有限公司,2812,台中銀,●,,◎,,
HY,中國人壽保險股份有限公司,2823,中壽,●,,◎,,
IA,臺灣中小企業銀行股份有限公司,2834,臺企銀,●,,◎,,
IB,遠東國際商業銀行股份有限公司,2845,遠東銀,●,,◎,,
IF,遠東百貨股份有限公司,2903,遠百,●,,◎,,
IH,台灣農林股份有限公司,2913,農林,●,,◎,,
II,晶豪科技股份有限公司,3006,晶豪科,●,,◎,,
IJ,大立光電股份有限公司,3008,大立光,●,,◎,,
IM,亞洲光學股份有限公司,3019,亞光,●,,◎,,
IN,威強電工業電腦股份有限公司,3022,威強電,●,,◎,,
IO,聯詠科技股份有限公司,3034,聯詠,●,,◎,,
IP,智原科技股份有限公司,3035,智原,●,,◎,,
IQ,文曄科技股份有限公司,3036,文曄,●,,◎,,
IR,欣興電子股份有限公司,3037,欣興,●,,◎,,
IT,台灣晶技股份有限公司,3042,晶技,●,,◎,,
IV,銘異科技股份有限公司,3060,銘異,●,,◎,,
IX,景碩科技股份有限公司,3189,景碩,●,,◎,,
IY,新日興股份有限公司,3376,新日興,●,,◎,,
IZ,明泰科技股份有限公司,3380,明泰,●,,◎,,
